Store,Saleable Quantity,State
"Boise633 N Milwaukee St Boise, ID 83704-9139",166,ID
"Nampa16300 N Market Place Blvd Nampa, ID 83687-7910",162,ID
"Lincoln950 Groveland Ln Lincoln, CA 95648-8041",31,CA
"Roseville North10451 Fairway Dr Roseville, CA 95678-1987",29,CA
"Rocklin5104 Commons Dr Rocklin, CA 95677",113,CA
"Roseville1925 Douglas Blvd Roseville, CA 95661-3834",204,CA
"Birdcage-Citrus Heights5837 Sunrise Blvd Citrus Heights, CA 95610-6866",188,CA
"Sacramento Madison5001 Madison Ave Sacramento, CA 95841-2604",111,CA
"Folsom430 Blue Ravine Rd Folsom, CA 95630-3402",1,CA
"Rancho Cordova10881 Olson Dr Rancho Cordova, CA 95670-5646",172,CA
"Sacramento Natomas3601 N Freeway Blvd Sacramento, CA 95834-2902",168,CA
"El Dorado Hills4400 Town Center Blvd El Dorado Hills, CA 95762-7130",0,CA
"Sacramento Arden1919 Fulton Ave Sacramento, CA 95825-1905",113,CA
"Sacramento East6507 4th Ave Sacramento, CA 95817-2611",182,CA
"Sacramento Riverside2505 Riverside Blvd Sacramento, CA 95818-2234",55,CA
"West Sacramento2005 Town Center Plz West Sacramento, CA 95691-4957",0,CA
"Woodland2185 Bronze Star Dr Woodland, CA 95776-5406",123,CA
"Sacramento SW8101 Cosumnes River Blvd Sacramento, CA 95823-5415",123,CA
"Davis4601 2nd St Davis, CA 95618-9446",128,CA
"Elk Grove7505 Laguna Blvd Elk Grove, CA 95758-5061",219,CA
"Great Falls2000 10th Ave S Great Falls, MT 59405-2753",146,MT
"Helena3303 N Montana Ave Helena, MT 59602-7817",174,MT
"Sparks South1550 E Lincoln Way Sparks, NV 89434-8989",164,NV
"Reno South6845 Sierra Center Pkwy Reno, NV 89511-2214",180,NV
"Carson City910 Jacks Valley Rd Carson City, NV 89705-6936",165,NV
"Twin Falls1611 Blue Lakes Blvd N Twin Falls, ID 83301-3374",171,ID
"Bozeman2550 Catron St Bozeman, MT 59718-7993",213,MT
"Idaho Falls2171 S 25th E Idaho Falls, ID 83406-5712",202,ID
"Paso Robles2305 Theatre Dr Paso Robles, CA 93446-9604",167,CA
"San Luis Obispo11990 LOS OSOS VALLEY RD San Luis Obispo, CA 93405",208,CA
"Santa Maria223 E Betteravia Rd Santa Maria, CA 93454-7803",126,CA
"Sand City2040 California Ave Sand City, CA 93955-3150",0,CA
"Salinas1640 N Main St Salinas, CA 93906-5102",4,CA
"Marina133 General Stilwell Dr Marina, CA 93933-6242",0,CA
"Hollister1790 Airline Hwy Hollister, CA 95023-5621",91,CA
"Hanford140 N 12th Ave Hanford, CA 93230-5971",117,CA
"Visalia4247 S Mooney Blvd Visalia, CA 93277-9146",196,CA
"Visalia North3308 N Dinuba Blvd Visalia, CA 93291-8718",101,CA
"Tulare2195 E Prosperity Ave Tulare, CA 93274-7754",133,CA
"Porterville1363 W Henderson Ave Porterville, CA 93257-1456",93,CA
"Clovis900 Shaw Ave Clovis, CA 93612-3900",146,CA
"Fresno South3173 E Shields Ave Fresno, CA 93726-6902",119,CA
"Clovis NW695 W Herndon Ave Clovis, CA 93612-0104",208,CA
"Fresno Central5740 N Blackstone Ave Fresno, CA 93710-5006",126,CA
"Fresno West3150 W Shaw Ave Fresno, CA 93711-3215",106,CA
"Fresno North7600 N Blackstone Ave Fresno, CA 93720-4300",187,CA
"Fresno NW6655 North Riverside Dr Fresno, CA 93722",113,CA
"Bakersfield NW9100 Rosedale Hwy Bakersfield, CA 93312-2143",232,CA
"Bakersfield NE3401 Mall View Rd Bakersfield, CA 93306-3060",41,CA
"Bakersfield West11000 Stockdale Hwy Bakersfield, CA 93311-3635",162,CA
"Bakersfield Central2901 Ming Ave Bakersfield, CA 93304-4144",130,CA
"Merced3280 R St Merced, CA 95348-1954",160,CA
"Los Banos1405 W Pacheco Blvd Los Banos, CA 93635-8506",116,CA
"Atwater1000 Commerce Ave Atwater, CA 95301-5213",32,CA
"Riverdale1135 W Riverdale Rd Riverdale, UT 84405-3722",266,UT
"Billings2601 Central Ave Billings, MT 59102-6652",178,MT
"Billings East403 Main St Billings, MT 59105-3227",177,MT
"Ventura West245 S Mills Rd Ventura, CA 93003-3435",2,CA
"Ventura4200 E Main St Ventura, CA 93003-5230",7,CA
"Oxnard West2850 N OXNARD BLVD Oxnard, CA 93036-5443",17,CA
"Camarillo209 W Ventura Blvd Camarillo, CA 93010-8359",161,CA
"Thousand Oaks2705 Teller Rd Thousand Oaks, CA 91320-1190",167,CA
"Moorpark800 New Los Angeles Ave Moorpark, CA 93021-3585",150,CA
"Simi Valley West51 Tierra Rejada Rd Simi Valley, CA 93065-2902",184,CA
"Westlake Village30740 Russell Ranch Rd Westlake Village, CA 91362-4063",165,CA
"Simi Valley2907 Cochran St Simi Valley, CA 93065-2773",177,CA
"West Hills6635 Fallbrook Ave West Hills, CA 91307-3520",2,CA
"Los Angeles Topanga6700 Topanga Canyon Blvd Canoga Park, CA 91303-2624",113,CA
"Valencia24425 Magic Mountain Pkwy Valencia, CA 91355-3403",187,CA
"Woodland Hills20801 Ventura Blvd Woodland Hills, CA 91364-2319",0,CA
"Northridge8840 Corbin Ave Northridge, CA 91324-3309",109,CA
"Granada Hills11133 Balboa Blvd Granada Hills, CA 91344-4204",238,CA
"Layton815 W 2000 N Layton, UT 84041-1632",344,UT
"Centerville200 N Market Place Dr Centerville, UT 84014-1752",183,UT
"N Las Vegas Deer SP7090 N 5th St North Las Vegas, NV 89084-1333",102,NV
"Las Vegas Far NW6480 Sky Pointe Dr Las Vegas, NV 89131-4038",172,NV
"Las Vegas N Decatur6371 N Decatur Blvd Las Vegas, NV 89130-8001",131,NV
